,Target
3799,1
3800,1
3801,0
3802,0
3803,0
3804,1
3805,1
3806,0
3807,0
3808,1
3809,1
3811,1
3812,0
3813,0
3814,0
3816,1
3817,0
3818,1
3819,1
3821,1
3822,0
3823,1
3826,1
3827,0
3828,1
3829,1
3830,0
3833,1
3834,0
3835,1
3836,1
3837,1
3838,1
3842,1
3843,1
3844,0
3845,1
3846,1
3847,1
3848,1
3849,0
3850,1
3851,1
3852,1
3853,1
3854,1
3855,0
3856,0
3857,0
3858,1
3859,1
3860,1
3861,1
3862,0
3863,0
3864,1
3865,1
3866,1
3867,0
3868,0
3869,1
3870,0
3871,0
3872,0
3873,1
3874,1
3875,1
3876,1
3877,0
3878,0
3879,0
3880,0
3881,0
3882,1
3883,0
3884,0
3885,0
3888,0
3889,0
3892,0
3893,1
3895,0
3897,0
3898,0
3900,0
3903,1
3904,1
3905,0
3906,0
3908,0
3909,1
3911,0
3912,0
3913,0
3914,1
3915,0
3916,0
3917,0
3919,0
3920,0
3921,0
3922,0
3923,0
3926,0
3927,1
3930,0
3931,0
3932,0
3934,1
3936,1
3938,0
3939,0
3941,1
3942,0
3943,1
3944,1
3945,0
3947,1
3948,0
3949,0
3950,1
3951,1
3952,0
3953,0
3954,1
3955,1
3956,0
3957,0
3958,0
3959,0
3960,1
3961,0
3962,0
3964,1
3965,0
3966,1
3968,0
3969,0
3970,0
3971,0
3972,0
3973,0
3974,0
3975,0
3976,0
3977,0
3978,0
3980,0
3981,0
3982,0
3983,0
3984,1
3985,0
3986,0
3987,0
3988,0
3989,0
3990,0
3991,1
3992,0
3993,0
3995,1
3996,1
3997,0
3998,1
3999,1
4000,1
4001,1
4002,0
4003,0
4004,0
4005,1
4006,0
4007,1
4008,1
4009,1
4010,1
4012,1
4013,0
4014,0
4015,1
4016,1
4017,1
4018,0
4019,0
4020,1
4021,0
4022,0
4023,1
4026,0
4027,1
4028,0
4029,1
4030,0
4032,0
4034,1
4035,1
4036,0
4038,0
4039,0
4040,0
4041,0
4042,0
4044,0
4045,1
4046,0
4047,0
4048,0
4049,0
4050,1
4051,0
4052,1
4054,0
4055,1
4056,0
4058,0
4059,1
4060,0
4061,0
4062,0
4063,0
4066,0
4067,1
4068,0
4069,0
4070,0
4071,1
4073,0
4074,0
4075,1
4076,0
4077,1
4078,0
4083,0
4084,1
4085,1
4086,0
4089,1
4090,0
4091,1
4092,1
4093,0
4094,0
4095,0
4096,0
4097,0
4098,1
4099,1
4101,0
4102,0
4104,0
4105,0
4106,0
4107,1
4108,0
4109,0
4110,0
4111,0
4112,0
4113,1
4114,0
4117,0
4118,0
4119,0
4120,0
4121,0
4122,0
4123,0
4127,0
4128,0
4129,0
4130,0
4131,0
4134,0
4135,0
4136,0
4137,0
4138,1
4139,0
4140,1
4141,1
4142,0
4145,1
4146,1
4149,0
4150,0
4151,0
4152,0
4154,1
4155,0
4157,1
4158,0
4159,0
4160,0
4162,1
4163,0
4165,0
4167,0
4168,0
4169,1
4173,0
4174,0
4175,0
4176,0
4178,0
4179,0
4181,1
4182,1
4183,0
4184,0
4187,0
4188,0
4189,0
4190,1
4193,0
4194,1
4195,0
4196,0
4197,0
4199,0
4200,0
4201,0
4203,0
4204,1
4205,0
4206,0
4207,0
4209,0
4210,0
4211,0
4212,0
4213,0
4214,0
4216,1
4217,0
4219,0
4220,1
4221,0
4222,0
4223,0
4224,0
4225,0
4226,1
4227,0
4229,1
4230,0
4232,1
4233,0
4236,0
4238,1
4239,0
4240,0
4241,1
4242,1
4245,1
4246,1
4247,0
4248,1
4249,0
4250,1
4251,1
4252,0
4253,1
4254,1
4255,1
4256,0
4258,0
4259,1
4260,1
4261,1
4262,0
4263,1
4264,0
4265,0
4267,0
4268,1
4270,0
4271,1
4272,0
4276,1
4277,1
4278,0
4279,1
4280,1
4282,1
4283,1
4286,0
4287,0
4288,1
4289,0
4292,0
4293,1
4294,0
4296,0
4297,0
4298,1
4299,1
4300,0
4302,1
4303,1
4304,1
4305,1
4306,1
4309,0
4310,0
4312,1
4313,0
4314,1
4315,1
4316,0
4317,0
4319,0
4322,1
4323,1
4324,0
4325,0
4326,1
4327,1
4328,1
4329,0
4330,1
4332,0
4333,1
4334,0
4337,0
4339,0
4340,0
4341,0
4342,1
4344,1
4345,0
4346,1
4347,1
4348,0
4349,0
4350,0
4351,0
4352,1
4355,0
4356,1
4357,1
4358,1
4359,0
4360,0
4361,0
4362,0
4363,1
4366,0
4367,0
4368,1
4371,0
4372,1
4374,0
4375,1
4376,0
4377,1
4378,0
4379,1
4380,1
4382,0
4383,0
4384,1
4385,1
4386,1
4387,1
4388,1
4389,0
4390,0
4393,0
4394,0
4395,1
4396,0
4398,0
4399,0
4400,1
4401,1
4403,0
4404,1
4405,0
4407,0
4408,1
4409,0
4410,0
4411,1
4414,0
4415,1
4416,0
4417,0
4418,0
4419,0
4420,1
4421,1
4422,0
4423,0
