,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Unemployment rate,Inflation rate,GDP,Target_encoded,Total Curricular units (grade),Total Curricular units (credited),Total Curricular units (enrolled),Total Curricular units (evaluations),Total Curricular units (approved),Total Curricular units (without evaluations)
262,0,13,1,6,1,0,0.0,0,21,27,9,9,0.0,0,0,1,0,0,0,1.0493139100671907,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,1,0.43515098095707516,3.1182364383973407,1.2363116761946304,1.1620432271560874,0.5992625156070168,3.8168632452994014
263,0,0,1,9,1,0,0.0,0,0,0,4,4,0.0,0,0,0,1,0,0,-0.8108027818016886,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.5582254893547034,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.5992625156070168,-0.23490997359881433
264,0,0,1,9,1,0,0.0,0,22,13,9,5,0.0,0,0,0,1,0,0,-0.8108027818016886,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.4642634338682418,-0.37101983423498863,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
265,0,0,2,14,1,0,0.0,0,2,0,1,3,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.43515098095707516,-0.37101983423498863,0.09160737073300991,0.5594598809220145,0.02752064147463172,-0.23490997359881433
266,0,7,4,11,1,0,0.0,0,3,0,2,3,0.0,1,0,0,1,0,0,-0.8108027818016886,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,0,0.6034073232319888,-0.37101983423498863,0.5612059506361214,0.26061229220679744,0.7314298216871751,-0.23490997359881433
267,0,0,2,14,1,0,0.0,0,22,27,9,9,0.0,1,0,0,1,0,1,-0.6159057152070485,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,0,0.4442203774566341,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.44497210209234944,-0.23490997359881433
268,0,0,1,4,1,0,0.0,0,21,26,9,9,0.0,1,0,0,1,0,1,-0.6159057152070485,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.4850496147479954,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.5992625156070168,-0.23490997359881433
269,0,0,5,11,1,0,0.0,0,0,0,9,9,0.0,0,0,0,1,0,1,-0.8108027818016886,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,0,0.5395388015815319,-0.37101983423498863,0.5612059506361214,0.26061229220679744,0.7314298216871751,-0.23490997359881433
270,0,14,1,3,1,13,0.0,0,21,27,4,8,0.0,0,0,0,1,0,1,-0.253759460374585,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.48413018567992866,-0.37101983423498863,0.09160737073300991,0.3268641370706001,0.44497210209234944,-0.23490997359881433
271,0,0,2,8,1,0,0.0,0,0,13,9,9,0.0,1,0,0,0,0,0,-0.4305196917739134,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,1,0.40461727716902557,-0.37101983423498863,-0.20082234344761415,0.610983551365563,-0.7550399137660718,-0.23490997359881433
272,0,7,1,8,1,0,0.0,0,9,13,4,8,0.0,1,0,0,1,0,0,-0.4305196917739134,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.4950951897635039,-0.37101983423498863,-0.20082234344761415,0.3895330061866227,0.44497210209234944,-0.23490997359881433
273,0,0,1,11,1,0,0.0,0,4,0,2,5,0.0,0,0,0,1,0,0,-0.6159057152070485,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.506809139272152,1.415186452961471,0.4550819916450282,0.26061229220679744,0.8470299467730539,-0.23490997359881433
274,0,0,1,9,1,0,0.0,0,0,27,4,5,0.0,0,0,0,1,0,0,-0.4305196917739134,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.6105240983684284,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.5992625156070168,-0.23490997359881433
275,0,7,3,11,1,0,0.0,0,9,0,4,10,0.0,1,0,0,1,0,0,-0.8108027818016886,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.5879051242116461,-0.37101983423498863,0.4550819916450282,0.19034279433801699,0.8470299467730539,-0.23490997359881433
276,0,12,1,15,1,0,0.0,0,21,27,3,3,0.0,0,0,0,1,0,0,-0.4305196917739134,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,1,0.3583410065953248,-0.37101983423498863,0.09160737073300991,0.3895330061866227,0.02752064147463172,-0.23490997359881433
277,1,3,1,7,1,2,0.0,0,4,3,2,0,0.0,0,0,1,0,0,0,0.9247237397795528,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,1,0.46206071191365533,2.9338545107325684,0.5612059506361214,0.8796628855526071,0.44497210209234944,3.8168632452994014
279,0,0,1,11,1,0,0.0,0,12,13,5,5,0.0,1,0,0,1,0,1,-0.4305196917739134,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,0,0.5528899405460803,-0.37101983423498863,0.4550819916450282,0.4489866395892748,0.7314298216871751,-0.23490997359881433
280,0,6,2,8,1,0,0.0,0,22,26,9,9,0.0,1,0,0,1,0,1,-0.08485788691433913,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.418034153582573,-0.37101983423498863,-0.20082234344761415,0.26061229220679744,0.25963353557025814,3.8168632452994014
281,3,0,1,2,0,0,0.0,0,23,13,4,10,0.0,1,0,0,1,0,1,2.710577616442639,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.5676866476983176,-0.37101983423498863,0.09160737073300991,0.26061229220679744,0.5992625156070168,-0.23490997359881433
282,1,15,1,16,0,0,0.0,0,21,26,8,4,0.0,0,0,0,1,0,0,1.1699481614560376,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.5526081483050492,0.5220833093632413,-0.20082234344761415,-0.2439612847322383,0.44497210209234944,-0.23490997359881433
283,0,0,1,4,1,0,0.0,0,12,26,7,5,0.0,0,0,0,1,0,1,-0.253759460374585,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.5189442073050948,-0.37101983423498863,0.09160737073300991,0.0355676612599826,0.5992625156070168,-0.23490997359881433
284,0,0,1,2,0,0,0.0,0,22,27,0,0,0.0,0,0,0,1,0,0,-0.253759460374585,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.45890356074500704,-0.37101983423498863,0.09160737073300991,0.3895330061866227,0.5992625156070168,-0.23490997359881433
285,1,11,1,14,1,8,0.0,0,0,0,4,4,0.0,0,0,0,1,0,0,0.2319638572181003,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.500222066631922,-0.37101983423498863,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
287,0,11,1,2,0,10,0.0,0,18,0,11,2,0.0,0,0,0,1,0,0,1.2868699946120181,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.4213540050085385,-0.37101983423498863,0.09160737073300991,0.5594598809220145,0.25963353557025814,-0.23490997359881433
288,0,8,2,2,0,0,0.0,0,2,0,3,4,0.0,1,0,0,1,0,1,-0.6159057152070485,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.38163493893144307,-0.37101983423498863,0.09160737073300991,0.3268641370706001,0.5992625156070168,-0.23490997359881433
289,0,11,1,11,1,0,0.0,0,2,2,1,1,0.0,1,0,0,1,0,0,0.2319638572181003,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.5227543363619285,-0.37101983423498863,0.5612059506361214,0.26061229220679744,0.8470299467730539,-0.23490997359881433
290,0,7,4,5,1,0,0.0,0,12,13,4,10,0.0,1,0,0,1,0,0,-0.6159057152070485,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,0,0.6167981589165707,-0.37101983423498863,0.09160737073300991,0.6603140485314349,0.5992625156070168,-0.23490997359881433
291,0,14,1,3,1,13,0.0,0,12,26,6,6,0.0,0,0,1,1,0,1,-0.6159057152070485,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.5626915393676255,-0.37101983423498863,0.09160737073300991,0.26061229220679744,0.5992625156070168,-0.23490997359881433
293,0,7,4,9,1,0,0.0,0,12,13,28,28,0.0,1,0,0,1,0,1,-0.8108027818016886,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.4160357056084428,-0.37101983423498863,0.09160737073300991,0.3268641370706001,0.5992625156070168,-0.23490997359881433
294,0,0,1,4,1,0,0.0,0,22,26,3,6,0.0,1,0,0,1,0,1,-0.6159057152070485,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,1,0.415702152062702,-0.37101983423498863,0.09160737073300991,0.4489866395892748,-0.28324362764915506,-0.23490997359881433
295,1,0,1,11,1,0,0.0,0,2,27,2,4,0.0,0,0,0,1,0,1,-0.6159057152070485,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.5980951148596586,-0.37101983423498863,0.5612059506361214,0.26061229220679744,0.7314298216871751,-0.23490997359881433
296,0,7,2,14,1,0,0.0,0,12,27,9,8,0.0,1,0,0,1,0,1,-0.8108027818016886,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.5537347307789396,-0.37101983423498863,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
297,0,0,1,9,1,0,0.0,0,0,0,3,3,0.0,1,0,0,1,0,0,-0.8108027818016886,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.43449927273889677,-0.37101983423498863,0.09160737073300991,0.3895330061866227,0.5992625156070168,-0.23490997359881433
298,0,7,4,12,1,0,0.0,0,0,0,4,10,0.0,1,0,0,1,0,0,-0.4305196917739134,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.4893265669051672,-0.37101983423498863,0.4550819916450282,0.19034279433801699,0.8470299467730539,-0.23490997359881433
299,0,0,1,11,1,0,0.0,0,12,27,5,7,0.0,0,0,0,1,0,0,-0.8108027818016886,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.491760459409834,-0.37101983423498863,0.5612059506361214,0.5055389154534011,0.8470299467730539,3.8168632452994014
300,0,7,4,13,1,0,0.0,0,22,27,9,7,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.49901865270928797,-0.37101983423498863,0.09160737073300991,0.4489866395892748,0.5992625156070168,-0.23490997359881433
301,0,0,2,5,1,0,0.0,0,22,26,9,9,0.0,1,0,0,1,0,1,-0.253759460374585,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.4442203774566341,-0.37101983423498863,-0.20082234344761415,-0.05033027649678355,0.44497210209234944,-0.23490997359881433
302,0,0,1,11,1,0,0.0,0,12,13,4,9,0.0,0,0,0,1,0,1,-0.8108027818016886,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,0,0.6454524688951407,-0.37101983423498863,0.4550819916450282,0.3895330061866227,0.8470299467730539,-0.23490997359881433
303,0,15,1,13,1,0,0.0,0,12,13,5,5,0.0,0,0,1,0,0,0,-0.8108027818016886,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,1,0.3961176964472634,-0.37101983423498863,-0.20082234344761415,-0.05033027649678355,0.25963353557025814,-0.23490997359881433
304,0,7,2,9,1,0,0.0,0,0,8,4,3,0.0,1,0,0,1,0,0,-0.6159057152070485,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,1,-2.1750170959725468,-0.37101983423498863,0.09160737073300991,-0.14310711712281785,-1.7697133631024018,-0.23490997359881433
306,0,7,4,13,1,0,0.0,0,0,13,5,5,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.5145255652440948,-0.37101983423498863,0.09160737073300991,0.4489866395892748,0.25963353557025814,-0.23490997359881433
307,0,11,1,7,1,2,0.0,0,2,0,11,11,0.0,1,0,0,1,0,0,1.510443874752867,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,1,-0.15801205136655735,0.5220833093632413,-0.20082234344761415,-0.14310711712281785,-1.7697133631024018,-0.23490997359881433
308,0,0,3,5,1,0,0.0,0,8,8,11,11,0.0,0,0,0,1,0,0,-0.6159057152070485,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.5693448761445621,-0.37101983423498863,-0.20082234344761415,-0.14310711712281785,0.44497210209234944,-0.23490997359881433
309,0,14,1,7,1,13,0.0,0,21,26,7,8,0.0,1,0,1,0,0,0,-0.6159057152070485,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,1,0.3909748965056221,1.415186452961471,0.09160737073300991,0.4489866395892748,-0.28324362764915506,-0.23490997359881433
310,0,15,1,9,1,0,0.0,0,2,13,2,1,0.0,0,0,1,1,0,0,0.5243896282393755,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.6115731486496826,-0.37101983423498863,0.09160737073300991,0.0355676612599826,0.5992625156070168,-0.23490997359881433
311,0,7,1,15,1,0,0.0,0,18,23,0,0,0.0,1,0,0,1,0,0,-0.253759460374585,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,1,0.39303592818969013,-0.37101983423498863,0.09160737073300991,0.610983551365563,0.02752064147463172,-0.23490997359881433
312,0,7,2,8,1,0,0.0,0,12,13,4,8,0.0,0,0,0,1,0,1,-0.8108027818016886,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.40461727716902557,-0.37101983423498863,-0.20082234344761415,-0.2439612847322383,0.44497210209234944,-0.23490997359881433
313,0,7,4,15,1,0,0.0,0,22,27,5,7,0.0,1,0,0,1,0,1,-0.4305196917739134,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.5317684998615586,-0.37101983423498863,0.09160737073300991,0.3268641370706001,0.44497210209234944,-0.23490997359881433
314,0,15,1,8,1,0,0.0,0,0,0,4,4,0.0,0,0,0,1,0,0,0.38098922270875074,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,1,-0.19255779858266367,-0.37101983423498863,-0.20082234344761415,0.3268641370706001,-1.7697133631024018,-0.23490997359881433
315,0,0,1,8,1,0,0.0,0,0,27,4,3,0.0,0,0,0,1,0,0,-0.8108027818016886,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.6777326469929771,-0.37101983423498863,-0.20082234344761415,-0.2439612847322383,0.44497210209234944,-0.23490997359881433
316,0,0,1,11,1,0,0.0,0,12,13,3,6,0.0,1,0,0,1,0,1,-0.8108027818016886,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.5970284885010017,-0.37101983423498863,0.4550819916450282,0.3895330061866227,0.8470299467730539,-0.23490997359881433
317,0,0,1,11,1,0,0.0,0,25,13,3,5,0.0,0,0,0,1,0,0,-0.6159057152070485,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.5596237714268247,-0.37101983423498863,0.4550819916450282,0.26061229220679744,0.8470299467730539,-0.23490997359881433
318,0,0,1,9,1,0,0.0,0,12,27,5,9,0.0,0,0,0,1,0,1,-0.8108027818016886,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.4096746302405278,-0.37101983423498863,0.09160737073300991,0.3895330061866227,0.5992625156070168,-0.23490997359881433
320,0,3,1,5,1,14,0.0,0,12,13,9,5,0.0,0,0,1,0,0,0,0.5243896282393755,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,1,-2.1750170959725468,-0.37101983423498863,-0.3676636912355508,-1.4164995369704894,-1.7697133631024018,-0.23490997359881433
321,0,12,1,11,1,0,0.0,0,21,26,7,9,0.0,1,0,0,1,0,1,-0.6159057152070485,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.503821640345262,-0.37101983423498863,0.5612059506361214,0.26061229220679744,0.7314298216871751,-0.23490997359881433
322,0,0,1,11,1,0,0.0,0,0,0,5,1,0.0,0,0,0,1,0,0,-0.6159057152070485,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.56823976699886,-0.37101983423498863,0.4550819916450282,0.26061229220679744,0.8470299467730539,-0.23490997359881433
323,0,13,4,8,1,0,0.0,0,21,26,9,9,0.0,0,0,0,1,0,0,-0.6159057152070485,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.4312328597106682,2.3082895965597006,0.9311044657754701,0.9189578937826927,0.8470299467730539,-0.23490997359881433
325,0,0,1,10,1,0,0.0,0,12,13,5,8,0.0,1,0,0,1,0,0,-0.8108027818016886,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.37849758356360885,-0.37101983423498863,0.09160737073300991,0.3895330061866227,0.02752064147463172,-0.23490997359881433
326,0,13,1,11,1,5,0.0,0,0,26,9,9,0.0,1,0,0,1,0,0,-0.6159057152070485,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.5198250565962441,-0.37101983423498863,0.342106715835676,0.11553672812843996,0.5992625156070168,-0.23490997359881433
327,0,0,1,9,1,0,0.0,0,0,0,9,6,0.0,0,0,1,1,0,0,-0.8108027818016886,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.39986848151389776,-0.37101983423498863,0.09160737073300991,0.4489866395892748,0.44497210209234944,-0.23490997359881433
331,0,14,1,6,1,13,0.0,0,12,26,4,7,0.0,0,0,1,1,0,0,0.5243896282393755,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,1,-2.1750170959725468,-0.37101983423498863,-0.20082234344761415,-0.14310711712281785,-1.7697133631024018,-0.23490997359881433
332,0,0,1,9,1,0,0.0,0,22,27,7,7,0.0,1,0,0,1,0,0,-0.4305196917739134,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.4695881464671619,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.5992625156070168,-0.23490997359881433
333,0,0,1,2,0,0,0.0,0,21,27,9,10,0.0,0,0,0,1,0,0,-0.6159057152070485,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,0,0.44871735595141826,-0.37101983423498863,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
334,0,0,1,9,1,0,0.0,0,18,26,4,9,0.0,1,0,0,1,0,1,-0.8108027818016886,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.49539766882127567,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.5992625156070168,-0.23490997359881433
335,0,14,1,9,1,13,0.0,0,22,26,7,7,0.0,0,0,0,1,0,0,-0.6159057152070485,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.5582254893547034,1.9376183012426174,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
336,0,3,1,15,1,14,0.0,0,25,2,2,1,0.0,0,0,1,1,0,0,2.1116412602871883,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.6010211307968044,-0.37101983423498863,0.342106715835676,0.19034279433801699,0.7314298216871751,-0.23490997359881433
337,0,0,4,11,1,0,0.0,0,22,27,7,7,0.0,1,0,0,1,0,1,-0.8108027818016886,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.5233389259025997,-0.37101983423498863,0.5612059506361214,0.26061229220679744,0.8470299467730539,-0.23490997359881433
338,0,7,1,9,1,0,0.0,0,2,0,9,10,0.0,0,0,0,1,0,0,-0.6159057152070485,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.4570033588421531,-0.37101983423498863,0.09160737073300991,0.3268641370706001,0.5992625156070168,-0.23490997359881433
339,0,7,1,7,1,0,0.0,0,1,6,3,5,0.0,0,0,0,1,0,0,-0.8108027818016886,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.4295947107346011,-0.37101983423498863,-0.20082234344761415,0.19034279433801699,0.25963353557025814,-0.23490997359881433
341,0,0,1,1,1,0,0.0,0,2,2,2,2,0.0,1,0,0,1,0,0,-0.8108027818016886,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,1,-2.1750170959725468,-0.37101983423498863,-4.398360108976492,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
342,1,11,1,2,0,0,0.0,0,21,26,9,9,0.0,1,0,0,1,0,0,1.4003010973809378,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.49084860474497644,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.5992625156070168,-0.23490997359881433
343,0,11,1,3,1,2,0.0,0,2,2,1,2,0.0,0,0,0,1,0,0,1.6174836223410072,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.5326355491255619,-0.37101983423498863,0.09160737073300991,0.5594598809220145,0.5992625156070168,-0.23490997359881433
345,0,0,1,14,1,0,0.0,0,12,13,7,5,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.500222066631922,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.5992625156070168,-0.23490997359881433
347,3,11,1,16,0,0,0.0,0,21,26,6,6,0.0,0,0,0,1,0,0,2.0178177338811847,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.3933789252546448,-0.37101983423498863,-0.20082234344761415,0.19034279433801699,0.44497210209234944,-0.23490997359881433
348,1,11,1,9,1,0,0.0,0,21,26,9,9,0.0,0,0,0,1,0,0,2.465353194766156,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,0,0.5247985604303246,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.5992625156070168,-0.23490997359881433
350,0,0,1,10,1,0,0.0,0,12,13,9,9,0.0,1,0,0,1,0,0,0.2319638572181003,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,1,0.4409929277089669,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.25963353557025814,-0.23490997359881433
351,0,13,1,14,1,0,0.0,0,12,13,9,8,0.0,0,0,0,1,0,1,-0.4305196917739134,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.5297417758569539,-0.37101983423498863,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
352,0,0,4,1,1,0,0.0,0,0,0,9,5,0.0,1,0,0,0,0,0,-0.6159057152070485,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,1,-2.1750170959725468,-0.37101983423498863,-4.398360108976492,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
353,1,0,1,11,1,0,0.0,0,21,27,9,7,0.0,0,0,1,1,0,1,-0.8108027818016886,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.5693448761445621,-0.37101983423498863,0.342106715835676,0.11553672812843996,0.5992625156070168,-0.23490997359881433
354,0,0,1,10,1,0,0.0,0,12,13,4,6,0.0,0,0,1,0,0,0,-0.08485788691433913,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,1,-0.15801205136655735,-0.37101983423498863,0.09160737073300991,0.610983551365563,-1.7697133631024018,-0.23490997359881433
355,0,7,1,5,1,0,0.0,0,12,0,4,5,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.6489641664584362,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.5992625156070168,-0.23490997359881433
356,0,11,1,11,1,11,0.0,0,22,26,9,9,0.0,0,0,0,1,0,0,0.2319638572181003,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.5011234576652954,-0.37101983423498863,0.4550819916450282,0.3895330061866227,0.7314298216871751,-0.23490997359881433
357,0,11,1,16,0,0,0.0,0,21,26,11,8,0.0,0,0,0,1,0,0,1.4003010973809378,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,1,-2.1750170959725468,-0.37101983423498863,-0.20082234344761415,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
359,0,11,1,5,1,16,0.0,0,2,28,2,3,0.0,0,0,0,1,0,0,0.5243896282393755,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,1,-2.1750170959725468,-0.37101983423498863,0.09160737073300991,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
360,0,7,4,15,1,0,0.0,0,12,27,4,1,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.4213540050085385,-0.37101983423498863,0.09160737073300991,0.3268641370706001,0.5992625156070168,-0.23490997359881433
361,0,0,1,14,1,0,0.0,0,21,27,9,7,0.0,0,0,1,1,0,0,-0.6159057152070485,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,1,0.3933789252546448,-0.37101983423498863,0.09160737073300991,0.7530908891574698,-0.28324362764915506,-0.23490997359881433
363,0,16,1,5,1,15,0.0,0,12,26,9,8,0.0,1,0,0,1,0,1,-0.08485788691433913,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.5358068292964128,2.8307214448408473,0.9311044657754701,1.0976326721654937,0.7314298216871751,-0.23490997359881433
365,0,0,1,5,1,0,0.0,0,21,27,7,5,0.0,1,0,0,1,0,1,-0.253759460374585,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,0,0.6606435412264469,-0.37101983423498863,0.09160737073300991,0.6603140485314349,0.5992625156070168,-0.23490997359881433
366,0,0,4,11,1,0,0.0,0,12,27,4,8,0.0,1,0,0,1,0,1,-0.253759460374585,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.5599031390228152,-0.37101983423498863,0.342106715835676,0.11553672812843996,0.5992625156070168,-0.23490997359881433
368,0,0,1,15,1,0,0.0,0,22,26,28,45,0.0,1,0,0,1,0,1,-0.6159057152070485,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.5449625419304808,-0.37101983423498863,0.342106715835676,0.26061229220679744,0.5992625156070168,-0.23490997359881433
369,0,0,6,11,1,0,0.0,0,12,13,9,5,0.0,1,0,0,1,0,0,-0.8108027818016886,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,1,0.5245068434309094,-0.37101983423498863,0.5612059506361214,0.26061229220679744,0.7314298216871751,-0.23490997359881433
370,1,13,1,2,0,0,0.0,0,21,28,9,4,0.0,0,0,0,1,0,0,2.940930552367539,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.5332130678565321,2.7186094194330943,0.7559074495574042,0.3895330061866227,0.7314298216871751,-0.23490997359881433
372,0,7,1,14,1,0,0.0,0,0,13,4,7,0.0,0,0,0,1,0,1,-0.6159057152070485,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,0,0.5654703936467014,-0.37101983423498863,0.09160737073300991,0.0355676612599826,0.5992625156070168,-0.23490997359881433
373,3,11,1,16,0,0,0.0,0,0,26,19,42,0.0,0,0,0,1,0,0,1.6174836223410072,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.46520563077279914,-0.37101983423498863,-0.20082234344761415,0.3268641370706001,0.44497210209234944,-0.23490997359881433
374,1,11,1,5,1,11,0.0,0,22,27,4,7,0.0,0,0,0,1,0,0,1.1699481614560376,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,1,-2.1750170959725468,-0.37101983423498863,0.09160737073300991,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
376,0,8,4,8,1,0,0.0,0,21,26,9,9,0.0,1,0,0,0,0,0,1.510443874752867,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,1,-2.1750170959725468,-0.37101983423498863,-0.20082234344761415,-0.9465282827770712,-1.7697133631024018,-0.23490997359881433
